Date,Pengunjung
1/31/2009,173867
2/28/2009,146115
3/31/2009,167954
4/30/2009,188189
5/31/2009,190638
6/30/2009,200503
7/31/2009,234984
8/31/2009,232090
9/30/2009,218199
10/31/2009,221059
11/30/2009,184622
12/31/2009,221604
1/31/2010,178185
2/28/2010,191293
3/31/2010,191125
4/30/2010,184230
5/31/2010,199401
6/30/2010,225119
7/31/2010,251834
8/31/2010,242987
9/30/2010,232336
10/31/2010,229651
11/30/2010,196856
12/31/2010,222497
1/31/2011,208337
2/28/2011,201457
3/31/2011,202539
4/30/2011,224423
5/31/2011,208832
6/30/2011,245248
7/31/2011,279219
8/31/2011,252698
9/30/2011,252855
10/31/2011,244421
11/30/2011,220341
12/31/2011,248336
1/31/2012,249728
2/29/2012,209160
3/31/2012,222950
4/30/2012,222657
5/31/2012,220508
6/30/2012,220508
7/31/2012,271371
8/31/2012,253970
9/30/2012,255717
10/31/2012,252716
11/30/2012,237874
12/31/2012,264366
1/31/2013,229561
2/28/2013,236971
3/31/2013,247024
4/30/2013,239400
5/31/2013,244874
6/30/2013,275452
7/31/2013,297723
8/31/2013,309051
9/30/2013,305429
10/31/2013,266453
11/30/2013,296990
12/31/2013,292961
1/31/2014,278685
2/28/2014,269367
3/31/2014,268418
4/30/2014,277925
5/31/2014,285965
6/30/2014,329654
7/31/2014,358907
8/31/2014,336628
9/30/2014,352017
10/31/2014,339200
11/30/2014,293858
12/31/2014,341111
1/31/2015,288755
2/28/2015,333072
3/31/2015,294737
4/30/2015,309888
5/31/2015,287141
6/30/2015,357712
7/31/2015,381890
8/31/2015,298638
9/30/2015,379397
10/31/2015,366759
11/30/2015,262180
12/31/2015,363780
1/31/2016,343663
2/29/2016,367024
3/31/2016,354778
4/30/2016,367370
5/31/2016,394443
6/30/2016,405686
7/31/2016,482201
8/31/2016,437929
9/30/2016,442304
10/31/2016,423140
11/30/2016,396150
12/31/2016,437946
1/31/2017,452660
2/28/2017,447762
3/31/2017,422757
4/30/2017,474338
5/31/2017,486207
6/30/2017,503617
7/31/2017,591812
8/31/2017,599827
9/30/2017,550238
10/31/2017,462263
11/30/2017,358012
12/31/2017,307321
1/31/2018,345191
2/28/2018,443805
3/31/2018,484846
4/30/2018,516143
5/31/2018,526281
6/30/2018,540462
7/31/2018,624337
8/31/2018,572027
9/30/2018,555888
10/31/2018,515859
11/30/2018,406679
12/31/2018,495641
1/31/2019,451708
2/28/2019,436266
3/31/2019,441707
4/30/2019,476104
5/31/2019,483928
6/30/2019,549483
7/31/2019,604310
8/31/2019,602457
9/30/2019,589984
10/31/2019,565966
11/30/2019,492904
12/31/2019,544726
1/31/2020,533392
2/29/2020,358929
3/31/2020,166388
4/30/2020,273
5/31/2020,34
6/30/2020,10
7/31/2020,16
8/31/2020,12
9/30/2020,8
10/31/2020,7
11/30/2020,2
12/31/2020,127
1/31/2021,2
2/28/2021,12
3/31/2021,3
4/30/2021,9
5/31/2021,8
6/30/2021,1
7/31/2021,
8/31/2021,
9/30/2021,
10/31/2021,2
11/30/2021,6
12/31/2021,
1/31/2022,
2/28/2022,1293
3/31/2022,14617
4/30/2022,58315
5/31/2022,115553
6/30/2022,181545
7/31/2022,246442
8/31/2022,276627
9/30/2022,291115
10/31/2022,305152
11/30/2022,287025
12/31/2022,376361
1/31/2023,329909
2/28/2023,317005
3/31/2023,366956
4/30/2023,410281
5/31/2023,439454
6/30/2023,478127
7/31/2023,541272
8/31/2023,522063
9/30/2023,508297
10/31/2023,458845
11/30/2023,397522
12/31/2023,478382
1/31/2024,414937
2/29/2024,454398
3/31/2024,463804
4/30/2024,502870
5/31/2024,544492
6/30/2024,520792
7/31/2024,625569
8/31/2024,613540
